TF_Name,GSM_ID,Subgroup
ZNF112,GSM2828848,t098_cluster_10307
ZNF155,GSM2828365,t098_cluster_10307
ZNF214,GSM2466498,t098_cluster_10307
ZNF221,GSM6372563,t098_cluster_10307
ZNF222,GSM2466499,t098_cluster_10307
ZNF223,GSM2466500,t098_cluster_10307
ZNF224,GSM5214928,t098_cluster_10307
ZNF225,GSM5330617,t098_cluster_10307
ZNF227,GSM5331230,t098_cluster_10307
ZNF230,GSM5214470,t098_cluster_10307
ZNF234,GSM5214412,t098_cluster_10307
ZNF235,GSM2466503,t098_cluster_10307
ZNF239,GSM5215600,t098_cluster_10307
ZNF284,GSM2466518,t098_cluster_10307
ZNF285,GSM2466519,t098_cluster_10307
ZNF45,GSM2466565,t098_cluster_10307
