TF_Name,GSM_ID,Subgroup
ZNF135,GSM2466477,t098_cluster_10305
ZNF157,GSM2827556,t098_cluster_10305
ZNF184,GSM5214938,t098_cluster_10305
ZNF189,GSM3634423,t098_cluster_10305
ZNF250,GSM2026762,t098_cluster_10305
ZNF34,GSM5331303,t098_cluster_10305
ZNF391,GSM2423166,t098_cluster_10305
ZNF436,GSM5214832,t098_cluster_10305
ZNF454,GSM2466564,t098_cluster_10305
ZNF501,GSM5213997,t098_cluster_10305
ZNF502,GSM2026839,t098_cluster_10305
ZNF660,GSM5215022,t098_cluster_10305
ZNF7,GSM5214321,t098_cluster_10305
ZNF70,GSM5330849,t098_cluster_10305
ZNF71,GSM2423047,t098_cluster_10305
ZNF79,GSM2466669,t098_cluster_10305
ZNF883,GSM5331233,t098_cluster_10305
Zfp3,GSM6372573,t098_cluster_10305
ZNF473,GSM2827562,t098_cluster_10305
Zfp62,GSM5214642,t098_cluster_10305
