TF_Name,GSM_ID,Subgroup
RBAK,GSM5214917,t098_cluster_10304
ZFP1,GSM2534187,t098_cluster_10304
ZNF12,GSM2797671,t098_cluster_10304
ZNF182,GSM2466487,t098_cluster_10304
ZNF248,GSM2466504,t098_cluster_10304
ZNF26,GSM2825194,t098_cluster_10304
ZNF300,GSM2827237,t098_cluster_10304
ZNF334,GSM2466534,t098_cluster_10304
ZNF33A,GSM5214619,t098_cluster_10304
ZNF33B,GSM5214279,t098_cluster_10304
ZNF37A,GSM2026770,t098_cluster_10304
ZNF382,GSM2424065,t098_cluster_10304
ZNF510,GSM3634206,t098_cluster_10304
ZNF567,GSM2466601,t098_cluster_10304
ZNF605,GSM6372180,t098_cluster_10304
ZNF624,GSM5214027,t098_cluster_10304
ZNF674,GSM5215097,t098_cluster_10304
ZNF782,GSM5215308,t098_cluster_10304
ZNF84,GSM2466677,t098_cluster_10304
ZNF658,GSM2828881,t098_cluster_10304
