TF_Name,GSM_ID,Subgroup
ZIK1,GSM5214712,t098_cluster_10303
ZNF132,GSM2466475,t098_cluster_10303
ZNF134,GSM5215175,t098_cluster_10303
ZNF154,GSM2466480,t098_cluster_10303
ZNF17,GSM5214406,t098_cluster_10303
ZNF211,GSM2466495,t098_cluster_10303
ZNF256,GSM5215271,t098_cluster_10303
ZNF304,GSM2466525,t098_cluster_10303
ZNF416,GSM5668028,t098_cluster_10303
ZNF419,GSM2466550,t098_cluster_10303
ZNF530,GSM5213903,t098_cluster_10303
ZNF547,GSM5215496,t098_cluster_10303
ZNF548,GSM5214148,t098_cluster_10303
ZNF549,GSM5215051,t098_cluster_10303
ZNF551,GSM5374463,t098_cluster_10303
ZNF671,GSM2466626,t098_cluster_10303
ZNF749,GSM2466646,t098_cluster_10303
ZNF772,GSM5214161,t098_cluster_10303
ZNF773,GSM5214043,t098_cluster_10303
ZNF792,GSM2533985,t098_cluster_10303
ZNF584,GSM2825490,t098_cluster_10303
