TF_Name,GSM_ID,Subgroup
ZFP14,GSM2466448,t098_cluster_10302
ZFP30,GSM5215188,t098_cluster_10302
ZFP82,GSM5215268,t098_cluster_10302
ZNF140,GSM2423519,t098_cluster_10302
ZNF283,GSM2466517,t098_cluster_10302
ZNF30,GSM5214975,t098_cluster_10302
ZNF331,GSM2797677,t098_cluster_10302
ZNF383,GSM5214281,t098_cluster_10302
ZNF404,GSM2827406,t098_cluster_10302
ZNF529,GSM2466582,t098_cluster_10302
ZNF540,GSM2466585,t098_cluster_10302
ZNF546,GSM3402711,t098_cluster_10302
ZNF565,GSM5330893,t098_cluster_10302
ZNF566,GSM2466600,t098_cluster_10302
ZNF571,GSM2466603,t098_cluster_10302
ZNF573,GSM2466604,t098_cluster_10302
ZNF582,GSM2026852,t098_cluster_10302
ZNF780A,GSM5369886,t098_cluster_10302
ZNF790,GSM2466663,t098_cluster_10302
ZNF850,GSM5669572,t098_cluster_10302
ZNF607,GSM5214323,t098_cluster_10302
