TF_Name,GSM_ID,Subgroup
GLI4,GSM5214704,t098_cluster_104
ZNF205,GSM2466494,t098_cluster_104
ZNF22,GSM2026767,t098_cluster_104
ZNF322,GSM2026819,t098_cluster_104
ZNF48,GSM2534006,t098_cluster_104
ZNF572,GSM5215720,t098_cluster_104
ZNF629,GSM5215117,t098_cluster_104
ZNF691,GSM5214837,t098_cluster_104
ZNF696,GSM5214437,t098_cluster_104
ZNF697,GSM5214050,t098_cluster_104
ZNF75A,GSM2574809,t098_cluster_104
ZNF75D,GSM2466648,t098_cluster_104
ZNF768,GSM5215173,t098_cluster_104
ZNF774,GSM2026816,t098_cluster_104
ZNF837,GSM2423882,t098_cluster_104
ZSCAN2,GSM2574782,t098_cluster_104
