New_Cluster_ID,Old_Cluster_ID,Cluster_Size,TF_Name,Family,Subgroup,ROC_AUC,PR_AUC,MCC,GSM_ID
C002,10302,21,ZNF383,C2H2 Zinc Finger,ZNF,0.9461534463276836,0.9028705867400842,0.7284566885742702,GSM5214281
C002,10302,21,ZNF404,C2H2 Zinc Finger,ZNF,0.9277193632710388,0.7646896044257203,0.6611553652129067,GSM2827406
C002,10302,21,ZNF529,C2H2 Zinc Finger,ZNF,0.908715483234714,0.7180524100789909,0.5757285582557256,GSM2466582
C002,10302,21,ZNF540,C2H2 Zinc Finger,ZNF,0.8546099290780141,0.6642768663255748,0.4140265404221342,GSM2466585
C002,10302,21,ZNF546,C2H2 Zinc Finger,ZNF,0.9106106715358084,0.6472792470611016,0.4653295082258543,GSM3402711
C002,10302,21,ZNF565,C2H2 Zinc Finger,ZNF,0.9138810753574692,0.7777962044095582,0.6225619315756479,GSM5330893
C002,10302,21,ZNF566,C2H2 Zinc Finger,ZNF,0.8794329793628531,0.726011197376023,0.5836150193063254,GSM2466600
C002,10302,21,ZNF571,C2H2 Zinc Finger,ZNF,0.8910578724243321,0.7829633166383341,0.7179773943803376,GSM2466603
C002,10302,21,ZNF573,C2H2 Zinc Finger,ZNF,0.8553380521308102,0.6258649140285025,0.4996287748290804,GSM2466604
C002,10302,21,ZNF582,C2H2 Zinc Finger,ZNF,0.8632404181184669,0.7004436107750178,0.6248809410409238,GSM2026852
C002,10302,21,ZNF780A,C2H2 Zinc Finger,ZNF,0.9150255896751224,0.7355271022348383,0.6538388535963828,GSM5369886
C002,10302,21,ZNF790,C2H2 Zinc Finger,ZNF,0.8291090629800307,0.5696942522913779,0.5472813793767886,GSM2466663
C002,10302,21,ZNF850,C2H2 Zinc Finger,ZNF,0.969267171042872,0.955686593836264,0.8129602094416064,GSM5669572
C002,10302,21,ZNF607,C2H2 Zinc Finger,ZNF,0.9571252408477842,0.9283554107778196,0.7709461721570225,GSM5214323
C003,10303,21,ZIK1,Unknown/Other,Unknown/Other,0.9740467111534794,0.9657057678346824,0.8332486152876325,GSM5214712
C003,10303,21,ZNF132,C2H2 Zinc Finger,ZNF,0.9289870885615568,0.8186473149231822,0.646546388689414,GSM2466475
C003,10303,21,ZNF134,C2H2 Zinc Finger,ZNF,0.8845420022795365,0.6702353100247573,0.5354655855250926,GSM5215175
C003,10303,21,ZNF154,C2H2 Zinc Finger,ZNF,0.8672490943959088,0.659139965665705,0.6005325641789633,GSM2466480
C003,10303,21,ZNF17,C2H2 Zinc Finger,ZNF,0.9644918095273805,0.9409665471143824,0.7823084704214619,GSM5214406
C003,10303,21,ZNF211,C2H2 Zinc Finger,ZNF,0.8704146988419487,0.6417618188795089,0.5952113925914401,GSM2466495
C003,10303,21,ZNF256,C2H2 Zinc Finger,ZNF,0.9557266739846324,0.9243473503472373,0.760026161007288,GSM5215271
C003,10303,21,ZNF304,C2H2 Zinc Finger,ZNF,0.9518889626756972,0.8196185583869096,0.7054369145825847,GSM2466525
C003,10303,21,ZNF416,C2H2 Zinc Finger,ZNF,0.9273106352640784,0.8434339193759249,0.7207828219693917,GSM5668028
C003,10303,21,ZNF419,C2H2 Zinc Finger,ZNF,0.9362912400455062,0.7539937709670672,0.706643898113547,GSM2466550
C003,10303,21,ZNF530,C2H2 Zinc Finger,ZNF,0.969324496910704,0.9538415483050816,0.810319345310026,GSM5213903
C003,10303,21,ZNF547,C2H2 Zinc Finger,ZNF,0.9706355285692044,0.9543429039505894,0.8169196944481985,GSM5215496
C003,10303,21,ZNF548,C2H2 Zinc Finger,ZNF,0.9648784662786716,0.9316567455953204,0.784653928311001,GSM5214148
C003,10303,21,ZNF549,C2H2 Zinc Finger,ZNF,0.9320048969020012,0.8561666477346163,0.7314334336082677,GSM5215051
C003,10303,21,ZNF551,C2H2 Zinc Finger,ZNF,0.863062815725895,0.6867642381187944,0.5727969075437219,GSM5374463
