New_Cluster_ID,Old_Cluster_ID,Cluster_Size,TF_Name,Single_ROC_AUC,MTL_ROC_AUC,Delta_ROC_AUC,Single_PR_AUC,MTL_PR_AUC,Delta_PR_AUC,Single_MCC,MTL_MCC,Delta_MCC,Single_F1,MTL_F1,Delta_F1,Single_Accuracy,MTL_Accuracy,Delta_Accuracy,Single_Precision,MTL_Precision,Delta_Precision,Single_Recall,MTL_Recall,Delta_Recall
C100,100,5,ZKSCAN2,0.9289919846950556,0.9419550087409704,0.0129630240459147,0.8140935813449903,0.8200238882284515,0.0059303068834611,0.7007378888283892,0.6904938192106395,-0.0102440696177497,0.7564102564102564,0.7290167865707434,-0.0273934698395129,0.9079159935379644,0.9087237479806138,0.0008077544426493,0.7901785714285714,0.8786127167630058,0.0884341453344343,0.7254098360655737,0.6229508196721312,-0.1024590163934425
C100,100,5,ZNF213,0.9452792644435296,0.9573212570330726,0.0120419925895429,0.844847627218398,0.8864073995933371,0.0415597723749391,0.711452751569342,0.7363959303463697,0.0249431787770277,0.7022900763358778,0.7313432835820896,0.0290532072462117,0.9498714652956298,0.9537275064267352,0.0038560411311053,0.9787234042553192,0.98,0.0012765957446808,0.5476190476190477,0.5833333333333334,0.0357142857142857
C100,100,5,ZSCAN20,0.9257464444444444,0.9263324444444444,0.0005859999999998,0.9260601104305346,0.9276258861778678,0.0015657757473331,0.7034755566330896,0.7121901209424089,0.0087145643093192,0.8452895419187554,0.8530161427357689,0.0077266008170134,0.8508333333333333,0.8558333333333333,0.005,0.8779174147217235,0.8700173310225303,-0.0079000836991931,0.815,0.8366666666666667,0.0216666666666667
C100,100,5,ZSCAN29,0.954026,0.9562197777777778,0.0021937777777777,0.9481705714297552,0.950881107761852,0.0027105363320967,0.7651602210340495,0.782000695112038,0.0168404740779885,0.8763459534560611,0.891072618254497,0.0147266647984358,0.8813333333333333,0.891,0.0096666666666667,0.9147933284989124,0.890479360852197,-0.0243139676467152,0.841,0.8916666666666667,0.0506666666666667
C100,100,5,ZSCAN32,0.9309566160709676,0.9370618915090008,0.006105275438033,0.860044995413082,0.8673538083567152,0.0073088129436331,0.7167675073331136,0.7108291609863955,-0.005938346346718,0.7839248434237995,0.7643020594965675,-0.019622783927232,0.8963704630788486,0.8968710888610764,0.0005006257822277,0.8145336225596529,0.8859416445623343,0.0714080220026813,0.755533199195171,0.6720321931589537,-0.0835010060362173
C10301,10301,23,ZKSCAN1,0.9619352933785652,0.974560434727981,0.0126251413494158,0.9567502439607548,0.9716040248604804,0.0148537808997254,0.7797085023392512,0.8270616500828636,0.0473531477436124,0.8863432969393235,0.9037443638502256,0.0174010669109021,0.8876702635768619,0.9131434636476208,0.0254732000707589,0.8438991138377642,0.9415849673202614,0.0976858534824972,0.9332830757632868,0.8688277421786657,-0.0644553335846211
C10301,10301,23,ZKSCAN3,0.9165285366877088,0.9406952941531028,0.024166757465394,0.7343373028873917,0.7931539676733169,0.0588166647859251,0.622545107119071,0.6876585019079027,0.0651133947888317,0.6614906832298136,0.7125220458553791,0.0510313626255655,0.9293354943273906,0.947163695299838,0.0178282009724474,0.6396396396396397,0.7890625,0.1494228603603603,0.684887459807074,0.6495176848874598,-0.0353697749196142
C10301,10301,23,ZKSCAN4,0.9254848484848486,0.9736969696969696,0.048212121212121,0.8516615753124059,0.904175306629575,0.052513731317169,0.8048066167375748,0.8499979405747876,0.0451913238372128,0.8181818181818182,0.8556701030927835,0.0374882849109652,0.9643564356435644,0.9722772277227724,0.007920792079208,0.9204545454545454,0.988095238095238,0.0676406926406926,0.7363636363636363,0.7545454545454545,0.0181818181818181
C10301,10301,23,ZKSCAN5,0.9584761666666668,0.9736904444444444,0.0152142777777777,0.9520768210521352,0.970689726453066,0.0186129054009306,0.7896688163235925,0.8336744939806052,0.0440056776570126,0.8949558848010655,0.916652747619843,0.0216968628187774,0.8948333333333334,0.9168333333333332,0.0219999999999997,0.8939142001995344,0.9186474723803147,0.0247332721807803,0.896,0.9146666666666666,0.0186666666666666
C10301,10301,23,ZKSCAN7,0.9346011633187016,0.9592081648539365,0.0246070015352347,0.8284436055879819,0.8420372606322518,0.0135936550442699,0.7579115945626754,0.7714151729550642,0.0135035783923888,0.776595744680851,0.7796610169491526,0.0030652722683015,0.958041958041958,0.961038961038961,0.002997002997003,0.8588235294117647,0.9324324324324323,0.0736089030206677,0.7087378640776699,0.6699029126213593,-0.0388349514563106
