TF_Name,Subgroup,GSM_ID,Family,Function,Cell_Line,Species,Cistrome_ID,External_ID_Type,PBC,FRiP,MappedRatio,PeaksFoldChangeAbove10,PeaksUnionDHSRatio,FastQC,GC_Content_Mean,GC_Content_Median,GC_Content_Std,GC_Content_Min,GC_Content_Max,Total_Sequences,Avg_Sequence_Length,mcc,roc_auc,pr_auc,precision,recall,accuracy,f1,gsm,fold
ARID4B,Nuclear Receptor,GSM2534717,Nuclear Receptor,"Hormone Response, Metabolism",Hep-G2,homo_sapiens,100639,GEO,0.99,0.1923564999999519,0,9332,0.9658,35,59.75,60.5,9.96,21.5,84,15000,200,0.7414521311890756,0.9504912064177724,0.8975937953995189,0.8059796437659033,0.8446666666666667,0.8865218308373761,0.8248697916666666,GSM2534717,0
ARNT,Nuclear Receptor,GSM1462476,Nuclear Receptor,"Hormone Response, Metabolism",T-47D,homo_sapiens,49447,GEO,0.98,0.2115324999999471,0,14607,0.9358,36,59.46,59.5,11.58,22,88.5,15000,200,0.7740920470982343,0.9574330961670874,0.8990433617218124,0.8484005563282336,0.8133333333333334,0.9149735359399008,0.8304969366916269,GSM1462476,0
ATF1,bZIP,GSM1861935,bZIP,"Stress Response, Differentiation",Hep-G2,homo_sapiens,56053,GEO,0.98,0.1699552499999575,0,10440,0.968,37,56.45,56.5,10.52,21.5,83.5,15000,200,0.7614513632815582,0.959957900934717,0.9033646979589012,0.8220735785953177,0.8193333333333334,0.9109305025709072,0.8207011686143573,GSM1861935,0
ATF3,bZIP,GSM1917770,bZIP,"Stress Response, Differentiation",colonic neoplasm,homo_sapiens,68464,GEO,0.991,0.1635394999999591,0,22987,0.978,39,51.12,49.5,9.76,22,85.5,15000,200,0.863342623928378,0.982419237360754,0.952055857652364,0.9128601546029516,0.866,0.9579233557742104,0.8888128634964078,GSM1917770,0
ATF6,bZIP,GSM5214216,bZIP,"Stress Response, Differentiation",Hep-G2,homo_sapiens,145785,GEO,0.994,0.0288980358026344,0,391,0.9362,34,57.84,58.5,10.61,16.5,95.5,15000,200,0.768061231503112,0.954335614206582,0.9070616904831984,0.8667642752562226,0.7893333333333333,0.9109442060085836,0.8262386601535241,GSM5214216,0
ATF7,bZIP,GSM2828822,bZIP,"Stress Response, Differentiation",K562,homo_sapiens,102749,GEO,0.991,0.1556191812121922,0,5415,0.9214,37,54.96,54,11.83,20.5,85,15000,200,0.7225138463102749,0.9394934161622598,0.848220190494757,0.7896193771626298,0.7606666666666667,0.9147595782977628,0.7748726655348047,GSM2828822,0
ATOH8,Unknown/Other,GSM5215678,Unknown/Other,Gene Regulation,A549,homo_sapiens,153406,GEO,0.982,0.0137468277947097,0,374,0.5041374920432845,40,48.51,42,12.5,19.5,82.5,1564,200,0.6875676269513843,0.9522615066093328,0.7646097591603286,0.7890625,0.6474358974358975,0.9489096573208724,0.7112676056338029,GSM5215678,0
Aebp2,Unknown/Other,GSM3908365,Unknown/Other,Gene Regulation,embryonic stem cell,homo_sapiens,130560,GEO,0.969,0.1961383516635708,0,48,0.425287356321839,35,45.33,46.5,11.62,16.5,90,87,200,0,0.7796610169491526,0.1567001963553687,0,0,0.921875,0,GSM3908365,0
Arid1a,Nuclear Receptor,GSM3499207,Nuclear Receptor,"Hormone Response, Metabolism",MCF-7,homo_sapiens,134891,GEO,0.972,0.1782326374221934,0,1907,0.967,40,63.26,65,11.51,17,96.5,15000,200,0.7213080532342,0.9315532774153464,0.8930119818861623,0.9457142857142856,0.662,0.8804831532104259,0.7788235294117647,GSM3499207,0
Arid2,Nuclear Receptor,GSM2495986,Nuclear Receptor,"Hormone Response, Metabolism",TTC-1240,homo_sapiens,87728,GEO,0.944,0.2178264999999455,0,7699,0.9746,34,66.11,68,11.01,21,97.5,15000,200,0.8463821599206317,0.9693354101765318,0.9602612238672884,0.9587087087087088,0.8513333333333334,0.92580731251668,0.9018361581920904,GSM2495986,0
Arid5b,Nuclear Receptor,GSM2797486,Nuclear Receptor,"Hormone Response, Metabolism",Hep-G2,homo_sapiens,132624,GEO,0.993,0.2204042179964365,0,11487,0.9768,35,48.2,46.5,9.61,21.5,95.5,15000,200,0.636264282302251,0.9157457201119172,0.7548195921467536,0.7620578778135049,0.632,0.90057451049361,0.6909620991253644,GSM2797486,0
Arntl,Nuclear Receptor,GSM2983900,Nuclear Receptor,"Hormone Response, Metabolism",HEK293,homo_sapiens,104708,GEO,0.989,0.1837813231660855,0,529,0.4856,40,57.99,57.5,7.31,8.5,96.5,15000,200,0.7689595812202646,0.9655151883353584,0.8757629891550137,0.8022741629816803,0.8466666666666667,0.9156570363466916,0.8238728511190399,GSM2983900,0
